collision_number	numerical_tangle_list	fidelity_list
0	0.005507602333812996	0.7558593825824401
1	0.007422360368672296	0.6552734458892056
2	0.007630926888358015	0.7304687578054693
3	0.0059317931050294126	0.5986328210556692
4	0.009172131970161023	0.5957031336293833
5	0.015386861633658166	0.5761718834722902
6	0.0019963592685719343	0.5722656336906087
7	0.004574488897517419	0.5703125086919527
8	0.005325617522244389	0.5517578210080382
9	0.0005497920845241168	0.5234375088442818
10	0.014781985951504015	0.5136718837625887
