Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,71.65860616457337,22.758078275130686,5.100156561828183,2.300000000000002e-2,4.055608706342014e-4,"cx0_1: 1.495e-2, cx0_14: 3.058e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q1,59.924056696311304,72.46869514497367,5.2383970861604965,4.0999999999999925e-2,7.222427261559505e-4,"cx1_0: 1.495e-2, cx1_2: 4.635e-2, cx1_13: 5.760e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q2,4.940618750038808,10.922704006426496,5.0327551569723,8.099999999999996e-2,9.534597094361793e-3,"cx2_1: 4.635e-2, cx2_3: 2.804e-1, cx2_12: 6.719e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q3,77.11309261521605,54.76629060856219,4.896080580517438,5.800000000000005e-2,3.955189094734808e-4,"cx3_2: 2.804e-1, cx3_4: 1.696e-2, cx3_11: 1.000e+0",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q4,65.99124612547665,47.86050038339573,5.026316685338954,4.300000000000004e-2,1.3937597359596566e-3,"cx4_3: 1.696e-2, cx4_5: 3.232e-2, cx4_10: 2.597e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q5,18.821240882030708,38.929069268663724,5.066751982808511,8.099999999999996e-2,2.773211730535633e-3,"cx5_4: 3.232e-2, cx5_6: 4.580e-2, cx5_9: 4.622e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q6,79.19119435687274,103.41716829802222,4.924040069690752,1.9500000000000073e-2,8.621177032172617e-4,"cx6_5: 4.580e-2, cx6_8: 3.754e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q7,30.79666250352646,43.293376501635805,4.974545792374474,7.450000000000001e-2,3.822550479797885e-3,"cx7_8: 5.753e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q8,34.06517200374465,53.333494626641944,4.740666951103629,2.7049999999999996e-1,9.32777310193608e-4,"cx8_6: 3.754e-2, cx8_7: 5.753e-2, cx8_9: 4.261e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q9,35.79943788711347,59.70369959748614,4.963289897276203,4.749999999999999e-2,2.4579516310021306e-3,"cx9_5: 4.622e-2, cx9_8: 4.261e-2, cx9_10: 3.876e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q10,63.32694859634933,58.13294855967923,4.945207945938989,4.0000000000000036e-2,1.2256355320671602e-3,"cx10_4: 2.597e-2, cx10_9: 3.876e-2, cx10_11: 4.391e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q11,63.6330412148338,27.775555664325555,5.004740466801416,3.1000000000000028e-2,3.8525432274834235e-3,"cx11_3: 1.000e+0, cx11_10: 4.391e-2, cx11_12: 6.350e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q12,104.50635019282642,58.1948170666161,4.760003085384231,4.600000000000004e-2,6.499377828195044e-4,"cx12_2: 6.719e-2, cx12_11: 6.350e-2, cx12_13: 2.830e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q13,27.76999481303232,49.563030819989514,4.968351870702879,1.0400000000000009e-1,2.045050554451535e-3,"cx13_1: 5.760e-2, cx13_12: 2.830e-2, cx13_14: 4.616e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
Q14,36.97493547982178,45.84408339032448,5.001476815636295,3.949999999999998e-2,1.0874890771893212e-3,"cx14_0: 3.058e-2, cx14_13: 4.616e-2",Wed Mar 04 2020 10:12:07 GMT+0100 (Central European Standard Time)
