Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,81.83610775914212,22.758078275130686,5.100159232564011,2.6000000000000023e-2,4.312252833909463e-4,"cx0_1: 1.473e-2, cx0_14: 2.230e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q1,57.49977262324516,67.53528146372149,5.238394049491593,2.950000000000008e-2,7.284597296005761e-4,"cx1_0: 1.473e-2, cx1_2: 2.358e-2, cx1_13: 6.471e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q2,33.43524220059338,61.22083269291564,5.032837065564419,4.249999999999998e-2,1.9932715022414403e-3,"cx2_1: 2.358e-2, cx2_3: 3.577e-2, cx2_12: 4.079e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q3,82.81926140748317,68.70254848530523,4.896078517228903,7.499999999999996e-2,4.0257773761784776e-4,"cx3_2: 3.577e-2, cx3_4: 1.704e-2, cx3_11: 5.470e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q4,64.134544872873,44.61438636457066,5.0263053949243055,2.5000000000000022e-2,1.0471529532159129e-3,"cx4_3: 1.704e-2, cx4_5: 2.879e-2, cx4_10: 2.670e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q5,17.488298209545253,31.316653076945126,5.066763088942654,5.95e-2,3.1861546555280677e-3,"cx5_4: 2.879e-2, cx5_6: 5.548e-2, cx5_9: 3.905e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q6,76.1473580401163,88.8329342655626,4.924046488409719,3.1000000000000028e-2,8.669388751260065e-4,"cx6_5: 5.548e-2, cx6_8: 2.871e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q7,39.036371902802905,61.9737270998676,4.974539998204335,1.6900000000000004e-1,2.6821464489897623e-3,"cx7_8: 4.002e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q8,35.83872769858596,66.03995470813898,4.740661453546915,2.845e-1,8.237478779180894e-4,"cx8_6: 2.871e-2, cx8_7: 4.002e-2, cx8_9: 2.701e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q9,43.79736842227211,79.48307650603918,4.9632924521897275,3.8000000000000034e-2,1.5364117356058316e-3,"cx9_5: 3.905e-2, cx9_8: 2.701e-2, cx9_10: 3.508e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q10,62.781811270076375,59.383036250506656,4.945205372924233,3.4499999999999975e-2,1.0358642730714778e-3,"cx10_4: 2.670e-2, cx10_9: 3.508e-2, cx10_11: 4.865e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q11,54.78719681867623,22.507151931712535,5.004669862423104,5.249999999999999e-2,1.1199536643558798e-2,"cx11_3: 5.470e-2, cx11_10: 4.865e-2, cx11_12: 4.817e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q12,113.37370022262924,58.55545212460768,4.759998698457659,4.249999999999998e-2,5.722279464018964e-4,"cx12_2: 4.079e-2, cx12_11: 4.817e-2, cx12_13: 3.082e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q13,29.282919069805423,58.08016674949415,4.96835213090744,1.18e-1,1.7456316444031767e-3,"cx13_1: 6.471e-2, cx13_12: 3.082e-2, cx13_14: 6.115e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
Q14,40.28285309718799,48.93900623641594,5.00149722126494,4.149999999999998e-2,1.4127515351662343e-3,"cx14_0: 2.230e-2, cx14_13: 6.115e-2",Sat Mar 07 2020 10:06:27 GMT+0100 (Central European Standard Time)
