Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,67.0658177583774,22.758078275130686,5.100156291884584,3.1000000000000028e-2,5.981098881372831e-4,"cx0_1: 2.091e-2, cx0_14: 3.193e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q1,54.264351858307926,60.831037020420474,5.2383988316986825,2.5000000000000022e-2,1.1271428209894583e-3,"cx1_0: 2.091e-2, cx1_2: 3.768e-2, cx1_13: 7.013e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q2,32.64243458563469,42.90786665581534,5.032861668889974,1.21e-1,4.232495072512804e-3,"cx2_1: 3.768e-2, cx2_3: 3.980e-2, cx2_12: 7.501e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q3,69.02547893044003,27.82257965443293,4.896094110738566,5.249999999999999e-2,5.553042267589203e-4,"cx3_2: 3.980e-2, cx3_4: 2.078e-2, cx3_11: 1.000e+0",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q4,64.36198835403387,43.278677795637584,5.0263071869933995,3.849999999999998e-2,1.108033391084666e-3,"cx4_3: 2.078e-2, cx4_5: 3.160e-2, cx4_10: 3.971e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q5,20.217758515098545,35.566820924478534,5.066781140292438,7.299999999999995e-2,2.8258313487985105e-3,"cx5_4: 3.160e-2, cx5_6: 5.618e-2, cx5_9: 4.213e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q6,81.06773913905273,68.48319880046023,4.924049450293828,4.5499999999999985e-2,1.5132623584097557e-3,"cx6_5: 5.618e-2, cx6_8: 3.606e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q7,45.02039306670243,92.44219732582621,4.97452068261799,3.5499999999999976e-2,1.2511834010074262e-3,"cx7_8: 3.158e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q8,38.03670093824253,67.84050393029159,4.740678413379234,2.6449999999999996e-1,7.749104442203894e-4,"cx8_6: 3.606e-2, cx8_7: 3.158e-2, cx8_9: 3.011e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q9,39.697659340725444,61.88602779729176,4.963287287328195,3.700000000000003e-2,1.7665354858127419e-3,"cx9_5: 4.213e-2, cx9_8: 3.011e-2, cx9_10: 5.152e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q10,54.79716915809261,39.63346978696665,4.945203001611153,3.4499999999999975e-2,2.7944666110925618e-3,"cx10_4: 3.971e-2, cx10_9: 5.152e-2, cx10_11: 5.362e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q11,36.91118277384579,23.17321258543575,5.00457856598985,7.350000000000001e-2,1.1698190919657396e-2,"cx11_3: 1.000e+0, cx11_10: 5.362e-2, cx11_12: 1.000e+0",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q12,86.77984638994032,53.01401453325916,4.759997571440263,3.600000000000003e-2,6.527909303864296e-4,"cx12_2: 7.501e-2, cx12_11: 1.000e+0, cx12_13: 3.470e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q13,30.133816464073433,53.79458023708639,4.968314018436565,1.2650000000000006e-1,2.437445006431791e-3,"cx13_1: 7.013e-2, cx13_12: 3.470e-2, cx13_14: 5.219e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
Q14,42.47956230741295,47.67255999883227,5.001497041979001,7.450000000000001e-2,1.8655469184441003e-3,"cx14_0: 3.193e-2, cx14_13: 5.219e-2",Wed Mar 18 2020 09:09:41 GMT+0100 (Central European Standard Time)
