Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,59.67674042631688,22.758078275130686,5.100158686699496,2.0499999999999963e-2,5.05018048004551e-4,"cx0_1: 3.091e-2, cx0_14: 2.775e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q1,53.35294919410969,65.95272478839149,5.238401528054092,2.5500000000000078e-2,1.7683516531013818e-3,"cx1_0: 3.091e-2, cx1_2: 1.908e-2, cx1_13: 8.262e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q2,47.38175509651327,74.24381821808223,5.032829688785688,4.049999999999998e-2,1.3670980300388301e-3,"cx2_1: 1.908e-2, cx2_3: 2.140e-2, cx2_12: 3.656e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q3,84.7960485674942,73.22748900703273,4.896088764846936,4.6499999999999986e-2,4.395420915205058e-4,"cx3_2: 2.140e-2, cx3_4: 2.298e-2, cx3_11: 1.000e+0",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q4,62.008947088417365,45.425931196600146,5.026312473251255,3.3500000000000085e-2,1.8042708370035359e-3,"cx4_3: 2.298e-2, cx4_5: 3.852e-2, cx4_10: 4.025e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q5,18.673483541163826,38.276312436413505,5.0667731268358125,7.099999999999995e-2,2.7738453120096716e-3,"cx5_4: 3.852e-2, cx5_6: 5.123e-2, cx5_9: 3.927e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q6,106.86378897521686,76.47327406941584,4.924045969695767,2.4499999999999966e-2,1.085176002296397e-3,"cx6_5: 5.123e-2, cx6_8: 2.715e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q7,38.68020980338972,50.16938896052319,4.974529103204633,5.7499999999999996e-2,3.114225720436531e-3,"cx7_8: 2.986e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q8,41.10069526475913,62.1106250958196,4.740658656447487,2.55e-1,8.180133130567108e-4,"cx8_6: 2.715e-2, cx8_7: 2.986e-2, cx8_9: 2.506e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q9,47.02790140518234,90.65657562489221,4.963285993751707,3.749999999999998e-2,1.1033080330177438e-3,"cx9_5: 3.927e-2, cx9_8: 2.506e-2, cx9_10: 3.317e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q10,63.054081960183446,64.56299770029649,4.945207000984986,4.600000000000004e-2,1.7942857773652306e-3,"cx10_4: 4.025e-2, cx10_9: 3.317e-2, cx10_11: 1.000e+0",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q11,53.08798086049854,20.110545132891705,5.0045897489771844,1.28e-1,6.327383328932885e-2,"cx11_3: 1.000e+0, cx11_10: 1.000e+0, cx11_12: 1.000e+0",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q12,90.55170009195818,44.97353735974165,4.760014307172924,8.699999999999997e-2,1.6421799201697077e-3,"cx12_2: 3.656e-2, cx12_11: 1.000e+0, cx12_13: 5.332e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q13,31.985562617905153,57.96991318497421,4.968316847245642,1.0199999999999998e-1,1.6642939831208788e-3,"cx13_1: 8.262e-2, cx13_12: 5.332e-2, cx13_14: 3.745e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
Q14,37.51174519403553,40.36661498932563,5.001483580428487,2.6000000000000023e-2,9.429784486335712e-4,"cx14_0: 2.775e-2, cx14_13: 3.745e-2",Wed Mar 25 2020 09:22:09 GMT+0100 (Central European Standard Time)
