Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,78.40033491199297,22.758078275130686,5.100155566484447,2.0000000000000018e-2,4.962309464523079e-4,"cx0_1: 2.485e-2, cx0_14: 2.704e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q1,56.444679144845935,18.05851189107168,5.238397836439302,2.6000000000000023e-2,1.7473373827395652e-3,"cx1_0: 2.485e-2, cx1_2: 2.899e-2, cx1_13: 7.081e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q2,49.44337912317801,58.847027251853305,5.032839333568742,5.5499999999999994e-2,1.963643074623861e-3,"cx2_1: 2.899e-2, cx2_3: 3.692e-2, cx2_12: 6.327e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q3,80.94439535637352,62.842425650674016,4.896088440038811,6.25e-2,6.046704636972544e-4,"cx3_2: 3.692e-2, cx3_4: 1.722e-2, cx3_11: 2.431e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q4,57.2973280673127,31.67319734504688,5.026312424465007,4.149999999999998e-2,1.7895543843950389e-3,"cx4_3: 1.722e-2, cx4_5: 3.712e-2, cx4_10: 2.566e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q5,18.921071027831047,36.39861653221738,5.066780453675193,9.350000000000003e-2,5.147210393197951e-3,"cx5_4: 3.712e-2, cx5_6: 5.458e-2, cx5_9: 4.205e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q6,86.20434034867928,110.55159796534767,4.924051641468034,1.9500000000000073e-2,7.552845024511513e-4,"cx6_5: 5.458e-2, cx6_8: 2.817e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q7,42.5909690238451,76.30400767085021,4.974534267295404,2.750000000000008e-2,1.3434400831214457e-3,"cx7_8: 3.186e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q8,37.20731295112374,59.904645876816254,4.740662840510814,2.6849999999999996e-1,7.560936773820337e-4,"cx8_6: 2.817e-2, cx8_7: 3.186e-2, cx8_9: 3.617e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q9,45.00607585294909,89.86997079645691,4.96328492351387,4.049999999999998e-2,1.511065833065748e-3,"cx9_5: 4.205e-2, cx9_8: 3.617e-2, cx9_10: 3.633e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q10,76.87680910486236,55.949858227860766,4.945208457965522,4.200000000000004e-2,1.2831578794349353e-3,"cx10_4: 2.566e-2, cx10_9: 3.633e-2, cx10_11: 3.298e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q11,55.88398535398601,68.64533925076998,5.004902276276838,3.3500000000000085e-2,8.973532531290752e-4,"cx11_3: 2.431e-2, cx11_10: 3.298e-2, cx11_12: 1.715e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q12,110.18272019478215,54.772519271579384,4.7600014390075955,4.500000000000004e-2,8.583000915001835e-4,"cx12_2: 6.327e-2, cx12_11: 1.715e-2, cx12_13: 3.041e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q13,27.703288525289302,46.86748031722801,4.96831548918715,1.1349999999999993e-1,2.3334749620613723e-3,"cx13_1: 7.081e-2, cx13_12: 3.041e-2, cx13_14: 6.240e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
Q14,35.61524166949368,43.8965399320448,5.001487058677237,5.0999999999999934e-2,8.890818857809619e-4,"cx14_0: 2.704e-2, cx14_13: 6.240e-2",Tue Mar 31 2020 09:46:54 GMT+0200 (Central European Summer Time)
