collision_number	numerical_tangle_list	fidelity_list
0	0.9512139752521194	0.9995048259201041
1	0.7463611034106638	0.9238281296776678
2	0.5395303906895497	0.8847656306486976
3	0.4026979391648451	0.8427734439460329
4	0.31699606785467754	0.7832031323014582
5	0.23122277458583765	0.7275390703767929
6	0.18530962143560575	0.7109375080227297
7	0.1330752650826646	0.7080078205453734
8	0.11166087692596668	0.6552734459063766
9	0.06562205055781517	0.6689453208389898
10	0.05986709423819824	0.6015625086638795
