collision_number	numerical_tangle_list	fidelity_list
0	0.9815690268904127	0.9995580816837699
1	0.2391728634227728	0.9997979435913271
2	0.049516070710447474	0.9996874880597172
3	0.017173358196885584	0.9988358275143716
4	0.004987262364886525	0.9995951805830773
5	0.0011935806960569808	0.9997522289709448
6	0.005836176682931605	0.9994192719711815
7	0.0018678247665127685	0.9992302586389342
8	0.0022189744477408005	0.9996484652551149
9	0.0017767826350720212	0.9997208074449644
10	0.001400695414788568	0.9989561436321313
